,time,pm_in,pm_out,tem_in,tem_out,rh_in,rh_out,co2,time_index
421,1/2/2017 11:00,0,0,0,0,0,0,0,11
422,1/2/2017 11:05,0,0,0,0,0,0,0,11
423,1/2/2017 11:10,0,0,0,0,0,0,0,11
424,1/2/2017 11:15,0,0,0,0,0,0,0,11
425,1/2/2017 11:20,0,0,0,0,0,0,0,11
426,1/2/2017 11:25,0,0,0,0,0,0,0,11
427,1/2/2017 11:30,0,0,0,0,0,0,0,11
428,1/2/2017 11:35,0,0,0,0,0,0,0,11
429,1/2/2017 11:40,0,0,0,0,0,0,0,11
430,1/2/2017 11:45,0,0,0,0,0,0,0,11
431,1/2/2017 11:50,0,0,0,0,0,0,0,11
432,1/2/2017 11:55,0,0,0,0,0,0,0,11
433,1/2/2017 12:00,0,0,0,0,0,0,0,12
434,1/2/2017 12:05,0,0,0,0,0,0,0,12
435,1/2/2017 12:10,0,0,0,0,0,0,0,12
436,1/2/2017 12:15,0,0,0,0,0,0,0,12
437,1/2/2017 12:20,0,0,0,0,0,0,0,12
438,1/2/2017 12:25,0,0,0,0,0,0,0,12
439,1/2/2017 12:30,0,0,0,0,0,0,0,12
440,1/2/2017 12:35,0,0,0,0,0,0,0,12
441,1/2/2017 12:40,0,0,0,0,0,0,0,12
442,1/2/2017 12:45,0,0,0,0,0,0,0,12
443,1/2/2017 12:50,0,0,0,0,0,0,0,12
444,1/2/2017 12:55,0,0,0,0,0,0,0,12
445,1/2/2017 13:00,0,0,0,0,0,0,0,13
446,1/2/2017 13:05,0,0,0,0,0,0,0,13
447,1/2/2017 13:10,0,0,0,0,0,0,0,13
448,1/2/2017 13:15,0,0,0,0,0,0,0,13
449,1/2/2017 13:20,0,0,0,0,0,0,0,13
450,1/2/2017 13:25,0,0,0,0,0,0,0,13
451,1/2/2017 13:30,0,0,0,0,0,0,0,13
452,1/2/2017 13:35,0,0,0,0,0,0,0,13
453,1/2/2017 13:40,0,0,0,0,0,0,0,13
454,1/2/2017 13:45,0,0,0,0,0,0,0,13
455,1/2/2017 13:50,0,0,0,0,0,0,0,13
456,1/2/2017 13:55,0,0,0,0,0,0,0,13
457,1/2/2017 14:00,0,0,0,0,0,0,0,14
458,1/2/2017 14:05,0,0,0,0,0,0,0,14
459,1/2/2017 14:10,0,0,0,0,0,0,0,14
460,1/2/2017 14:15,0,0,0,0,0,0,0,14
461,1/2/2017 14:20,0,0,0,0,0,0,0,14
462,1/2/2017 14:25,0,0,0,0,0,0,0,14
463,1/2/2017 14:30,0,0,0,0,0,0,0,14
464,1/2/2017 14:35,0,0,0,0,0,0,0,14
465,1/2/2017 14:40,0,0,0,0,0,0,0,14
466,1/2/2017 14:45,0,0,0,0,0,0,0,14
467,1/2/2017 14:50,0,0,0,0,0,0,0,14
468,1/2/2017 14:55,0,0,0,0,0,0,0,14
469,1/2/2017 15:00,0,0,0,0,0,0,0,15
470,1/2/2017 15:05,0,0,0,0,0,0,0,15
471,1/2/2017 15:10,0,0,0,0,0,0,0,15
472,1/2/2017 15:15,0,0,0,0,0,0,0,15
473,1/2/2017 15:20,0,0,0,0,0,0,0,15
474,1/2/2017 15:25,0,0,0,0,0,0,0,15
475,1/2/2017 15:30,0,0,0,0,0,0,0,15
476,1/2/2017 15:35,0,0,0,0,0,0,0,15
477,1/2/2017 15:40,0,0,0,0,0,0,0,15
478,1/2/2017 15:45,0,0,0,0,0,0,0,15
479,1/2/2017 15:50,0,0,0,0,0,0,0,15
480,1/2/2017 15:55,0,0,0,0,0,0,0,15
481,1/2/2017 16:00,0,0,0,0,0,0,0,16
482,1/2/2017 16:05,0,0,0,0,0,0,0,16
483,1/2/2017 16:10,0,0,0,0,0,0,0,16
484,1/2/2017 16:15,0,0,0,0,0,0,0,16
485,1/2/2017 16:20,0,0,0,0,0,0,0,16
486,1/2/2017 16:25,0,0,0,0,0,0,0,16
487,1/2/2017 16:30,0,0,0,0,0,0,0,16
488,1/2/2017 16:35,0,0,0,0,0,0,0,16
489,1/2/2017 16:40,0,0,0,0,0,0,0,16
490,1/2/2017 16:45,0,0,0,0,0,0,0,16
491,1/2/2017 16:50,0,0,0,0,0,0,0,16
492,1/2/2017 16:55,0,0,0,0,0,0,0,16
493,1/2/2017 17:00,0,0,0,0,0,0,0,17
494,1/2/2017 17:05,0,0,0,0,0,0,0,17
495,1/2/2017 17:10,0,0,0,0,0,0,0,17
496,1/2/2017 17:15,0,0,0,0,0,0,0,17
497,1/2/2017 17:20,0,0,0,0,0,0,0,17
498,1/2/2017 17:25,0,0,0,0,0,0,0,17
499,1/2/2017 17:30,0,0,0,0,0,0,0,17
500,1/2/2017 17:35,0,0,0,0,0,0,0,17
501,1/2/2017 17:40,0,0,0,0,0,0,0,17
502,1/2/2017 17:45,0,0,0,0,0,0,0,17
503,1/2/2017 17:50,0,0,0,0,0,0,0,17
504,1/2/2017 17:55,0,0,0,0,0,0,0,17
505,1/2/2017 18:00,0,0,0,0,0,0,0,18
506,1/2/2017 18:05,0,0,0,0,0,0,0,18
507,1/2/2017 18:10,0,0,0,0,0,0,0,18
508,1/2/2017 18:15,0,0,0,0,0,0,0,18
509,1/2/2017 18:20,0,0,0,0,0,0,0,18
510,1/2/2017 18:25,0,0,0,0,0,0,0,18
511,1/2/2017 18:30,0,0,0,0,0,0,0,18
512,1/2/2017 18:35,0,0,0,0,0,0,0,18
513,1/2/2017 18:40,0,0,0,0,0,0,0,18
514,1/2/2017 18:45,0,0,0,0,0,0,0,18
515,1/2/2017 18:50,0,0,0,0,0,0,0,18
516,1/2/2017 18:55,0,0,0,0,0,0,0,18
517,1/2/2017 19:00,0,0,0,0,0,0,0,19
518,1/2/2017 19:05,0,0,0,0,0,0,0,19
519,1/2/2017 19:10,0,0,0,0,0,0,0,19
520,1/2/2017 19:15,0,0,0,0,0,0,0,19
